😄;smiling face with open mouth and smiling eyes
😃;smiling face with open mouth
😀;grinning face
😊;smiling face with smiling eyes
😉;winking face
😍;smiling face with heart-shaped eyes
😘;face throwing a kiss
😚;kissing face with closed eyes
😗;kissing face
😙;kissing face with smiling eyes
😜;face with stuck-out tongue and winking eye
😝;face with stuck-out tongue and tightly-closed eyes
😛;face with stuck-out tongue
😳;flushed face
😁;grinning face with smiling eyes
😔;pensive face
😌;relieved face
😒;unamused face
😞;disappointed face
😣;persevering face
😢;crying face
😂;face with tears of joy
😭;loudly crying face
😪;sleepy face
😥;disappointed but relieved face
😰;face with open mouth and cold sweat
😅;smiling face with open mouth and cold sweat
😓;face with cold sweat
😩;weary face
😫;tired face
😨;fearful face
😱;face screaming in fear
😠;angry face
😡;pouting face
😤;face with look of triumph
😖;confounded face
😆;smiling face with open mouth and tightly-closed eyes
😋;face savouring delicious food
😷;face with medical mask
😎;smiling face with sunglasses
😴;sleeping face
😵;dizzy face
😲;astonished face
😟;worried face
😦;frowning face with open mouth
😧;anguished face
😈;smiling face with horns
👿;imp
😮;face with open mouth
😬;grimacing face
😐;neutral face
😕;confused face
😯;hushed face
😶;face without mouth
😇;smiling face with halo
😏;smirking face
😑;expressionless face
👲;man with gua pi mao
👳;man with turban
👮;police officer
👷;construction worker
💂;guardsman
👶;baby
👦;boy
👧;girl
👨;man
👩;woman
👴;older man
👵;older woman
👱;person with blond hair
👼;baby angel
👸;princess
😺;smiling cat face with open mouth
😸;grinning cat face with smiling eyes
😻;smiling cat face with heart-shaped eyes
😽;kissing cat face with closed eyes
😼;cat face with wry smile
🙀;weary cat face
😿;crying cat face
😹;cat face with tears of joy
😾;pouting cat face
👹;japanese ogre
👺;japanese goblin
🙈;see-no-evil monkey
🙉;hear-no-evil monkey
🙊;speak-no-evil monkey
💀;skull
👽;extraterrestrial alien
💩;pile of poo
🔥;fire
🌟;glowing star
💫;dizzy symbol
💥;collision symbol
💢;anger symbol
💦;splashing sweat symbol
💧;droplet
💤;sleeping symbol
💨;dash symbol
👂;ear
👀;eyes
👃;nose
👅;tongue
👄;mouth
👍;thumbs up sign
👎;thumbs down sign
👌;ok hand sign
👊;fisted hand sign
👋;waving hand sign
👐;open hands sign
👆;white up pointing backhand index
👇;white down pointing backhand index
👉;white right pointing backhand index
👈;white left pointing backhand index
🙌;person raising both hands in celebration
🙏;person with folded hands
👏;clapping hands sign
💪;flexed biceps
🚶;pedestrian
🏃;runner
💃;dancer
👫;man and woman holding hands
👪;family
👬;two men holding hands
👭;two women holding hands
💏;kiss
💑;couple with heart
👯;woman with bunny ears
🙆;face with ok gesture
🙅;face with no good gesture
💁;information desk person
🙋;happy person raising one hand
💆;face massage
💇;haircut
💅;nail polish
👰;bride with veil
🙎;person with pouting face
🙍;person frowning
🙇;person bowing deeply
🎩;top hat
👑;crown
👒;womans hat
👟;athletic shoe
👞;mans shoe
👡;womans sandal
👠;high-heeled shoe
👢;womans boots
👕;t-shirt
👔;necktie
👚;womans clothes
👗;dress
🎽;running shirt with sash
👖;jeans
👘;kimono
👙;bikini
💼;briefcase
👜;handbag
👝;pouch
👛;purse
👓;eyeglasses
🎀;ribbon
🌂;closed umbrella
💄;lipstick
💛;yellow heart
💙;blue heart
💜;purple heart
💚;green heart
💔;broken heart
💗;growing heart
💓;beating heart
💕;two hearts
💖;sparkling heart
💞;revolving hearts
💘;heart with arrow
💌;love letter
💋;kiss mark
💍;ring
💎;gem stone
👤;bust in silhouette
👥;busts in silhouette
💬;speech balloon
👣;footprints
💭;thought balloon
🐶;dog face
🐺;wolf face
🐱;cat face
🐭;mouse face
🐹;hamster face
🐰;rabbit face
🐸;frog face
🐯;tiger face
🐨;koala
🐻;bear face
🐷;pig face
🐽;pig nose
🐮;cow face
🐗;boar
🐵;monkey face
🐒;monkey
🐴;horse face
🐑;sheep
🐘;elephant
🐼;panda face
🐧;penguin
🐦;bird
🐤;baby chick
🐥;front-facing baby chick
🐣;hatching chick
🐔;chicken
🐍;snake
🐢;turtle
🐛;bug
🐝;honeybee
🐜;ant
🐞;lady beetle
🐌;snail
🐙;octopus
🐚;spiral shell
🐠;tropical fish
🐟;fish
🐬;dolphin
🐳;spouting whale
🐋;whale
🐄;cow
🐏;ram
🐀;rat
🐃;water buffalo
🐅;tiger
🐇;rabbit
🐉;dragon
🐎;horse
🐐;goat
🐓;rooster
🐕;dog
🐖;pig
🐁;mouse
🐂;ox
🐲;dragon face
🐡;blowfish
🐊;crocodile
🐫;bactrian camel
🐪;dromedary camel
🐆;leopard
🐈;cat
🐩;poodle
🐾;paw prints
💐;bouquet
🌸;cherry blossom
🌷;tulip
🍀;four leaf clover
🌹;rose
🌻;sunflower
🌺;hibiscus
🍁;maple leaf
🍃;leaf fluttering in wind
🍂;fallen leaf
🌿;herb
🌾;ear of rice
🍄;mushroom
🌵;cactus
🌴;palm tree
🌲;evergreen tree
🌳;deciduous tree
🌰;chestnut
🌱;seedling
🌼;blossom
🌐;globe with meridians
🌞;sun with face
🌝;full moon with face
🌚;new moon with face
🌑;new moon symbol
🌒;waxing crescent moon symbol
🌓;first quarter moon symbol
🌔;waxing gibbous moon symbol
🌕;full moon symbol
🌖;waning gibbous moon symbol
🌗;last quarter moon symbol
🌘;waning crescent moon symbol
🌜;last quarter moon with face
🌛;first quarter moon with face
🌙;crescent moon
🌍;earth globe europe-africa
🌎;earth globe americas
🌏;earth globe asia-australia
🌋;volcano
🌌;milky way
🌠;shooting star
🌀;cyclone
🌁;foggy
🌈;rainbow
🌊;water wave
Objects
🎍;pine decoration
💝;heart with ribbon
🎎;japanese dolls
🎒;school satchel
🎓;graduation cap
🎏;carp streamer
🎆;fireworks
🎇;firework sparkler
🎐;wind chime
🎑;moon viewing ceremony
🎃;jack-o-lantern
👻;ghost
🎅;father christmas
🎄;christmas tree
🎁;wrapped present
🎋;tanabata tree
🎉;party popper
🎊;confetti ball
🎈;balloon
🎌;crossed flags
🔮;crystal ball
🎥;movie camera
